MyIndex,State,District,Latitude,Longitude
0,andaman-&-nicobar-islands,north and middle andaman district,11.55482845,92.23849
1,andaman-&-nicobar-islands,south andaman district,10.7056905,92.4874679
2,andaman-&-nicobar-islands,nicobars district,10.7056905,92.4874679
3,andhra-pradesh,east godavari district,17.233496,81.7225986
4,andhra-pradesh,srikakulam district,17.233496,81.7225986
5,andhra-pradesh,spsr nellore district,14.71875825,79.65961023
6,andhra-pradesh,vizianagaram district,18.110744,83.386585
7,andhra-pradesh,visakhapatnam district,18.110744,83.386585
8,andhra-pradesh,prakasam district,15.2282086,79.8744994
9,andhra-pradesh,anantapur district,15.2282086,79.8744994
10,andhra-pradesh,ysr district,17.0771387,81.6653938
11,andhra-pradesh,west godavari district,16.9550574,81.4530037
12,andhra-pradesh,kurnool district,15.8344103,78.0499956
13,andhra-pradesh,chittoor district,13.0108668,79.2249071
14,andhra-pradesh,guntur district,13.0108668,79.2249071
15,andhra-pradesh,krishna district,17.0347692,81.7819183
16,arunachal-pradesh,lower dibang valley district,17.0347692,81.7819183
17,arunachal-pradesh,lower subansiri district,27.8,93.6
18,arunachal-pradesh,longding district,27.8,93.6
19,arunachal-pradesh,west siang district,28.4,94.55
20,arunachal-pradesh,kamle district,28.4,94.55
21,arunachal-pradesh,upper siang district,28.6416983,95.0252232
22,arunachal-pradesh,tirap district,27.5013437,96.5242944
23,arunachal-pradesh,papum pare district,27.5013437,96.5242944
24,arunachal-pradesh,kurung kumey district,27.98636765,93.15783469
25,arunachal-pradesh,siang district,28.477492,94.81655729
26,arunachal-pradesh,lower siang district,28.477492,94.81655729
27,arunachal-pradesh,kra daadi district,27.9366293,92.6658618
28,arunachal-pradesh,changlang district,27.272007,96.06552596
29,arunachal-pradesh,pakke kessang district,27.1061731,92.9311395
30,arunachal-pradesh,dibang valley district,28.8291044,95.95540958
31,arunachal-pradesh,west kameng district,27.33862695,92.43336624
32,arunachal-pradesh,east siang district,28.3,95.15
33,arunachal-pradesh,upper subansiri district,28.3,94
34,arunachal-pradesh,east kameng district,27.55778095,92.96738427
35,arunachal-pradesh,lohit district,28.0060625,96.2431946
36,arunachal-pradesh,lepa rada district,28.0060625,96.2431946
37,arunachal-pradesh,tawang district,27.6741942,91.93620588
38,arunachal-pradesh,namsai district,27.6741942,91.93620588
39,arunachal-pradesh,anjaw district,28.1114301,96.82699963
40,arunachal-pradesh,shi yomi district,28.1114301,96.82699963
41,assam,tinsukia district,27.5971709,95.56685292
42,assam,lakhimpur district,27.2382645,94.1053145
43,assam,kamrup district,26.2074223,91.6771799
44,assam,kokrajhar district,26.2074223,91.6771799
45,assam,karbi anglong district,26,93.5
46,assam,sivasagar district,26,93.5
47,assam,dibrugarh district,27.4881672,95.3623358
48,assam,south salmara mancachar district,27.4881672,95.3623358
49,assam,nagaon district,27.4881672,95.3623358
50,assam,dhubri district,25.54325127,87.56949075
51,assam,golaghat district,26.5305611,93.9603353
52,assam,udalguri district,26.70472375,92.04215071
53,assam,majuli district,26.70472375,92.04215071
54,assam,sonitpur district,26.70472375,92.04215071
55,assam,hojai district,26.70472375,92.04215071
56,assam,marigaon district,26.70472375,92.04215071
57,assam,chirang district,26.70472375,92.04215071
58,assam,cachar district,25.083333,92.916667
59,assam,nalbari district,25.083333,92.916667
60,assam,west karbi anglong district,25.083333,92.916667
61,assam,dhemaji district,27.5945155,94.71920979
62,assam,karimganj district,24.86648155,92.35121508
63,assam,bongaigaon district,24.86648155,92.35121508
64,assam,dima hasao district,25.40036255,93.07522923
65,assam,baksa district,25.40036255,93.07522923
66,assam,charaideo district,25.40036255,93.07522923
67,assam,darrang district,26.75,92.5
68,assam,kamrup metropolitan district,26.75,92.5
69,assam,hailakandi district,24.6827307,92.5622753
70,assam,barpeta district,24.6827307,92.5622753
71,assam,goalpara district,24.6827307,92.5622753
72,assam,biswanath district,24.6827307,92.5622753
73,assam,jorhat district,26.7586112,94.20640848
74,bihar,madhepura district,26.7586112,94.20640848
75,bihar,purnia district,25.774436,87.41003213
76,bihar,nalanda district,25.4374355,85.2919909
77,bihar,buxar district,25.4374355,85.2919909
78,bihar,darbhanga district,25.4374355,85.2919909
79,bihar,nawada district,24.7270817,84.5693914
80,bihar,jamui district,24.7270817,84.5693914
81,bihar,sheikhpura district,24.7270817,84.5693914
82,bihar,siwan district,26.166667,84.5
83,bihar,muzaffarpur district,26.1667052,85.4166314
84,bihar,patna district,25.46737665,85.19581528
85,bihar,jehanabad district,25.46737665,85.19581528
86,bihar,rohtas district,24.93928775,84.01945449
87,bihar,begusarai district,25.5,86.25
88,bihar,supaul district,25.5,86.25
89,bihar,sitamarhi district,26.666667,85.5
90,bihar,saran district,25.6085763,85.1993479
91,bihar,arwal district,25.2320301,84.6775384
92,bihar,vaishali district,25.696274,85.2228359
93,bihar,pashchim champaran district,27,84.5
94,bihar,gopalganj district,26.5,84.333333
95,bihar,lakhisarai district,25.2830169,86.0190997
96,bihar,aurangabad district,24.80340125,84.41113582
97,bihar,kaimur bhabua district,24.75750955,83.72099681
